單字 (Word),詞性 (POS),中文翻譯 (Translation),例句 (Example),已背過 (Learned),Learned,Status,Appeared
nation,n.,國家,,FALSE,FALSE,,FALSE
natural,adj.,自然的,,FALSE,FALSE,,FALSE
naughty,adj.,淘氣,,FALSE,FALSE,,FALSE
nearly,adv.,幾乎,,FALSE,FALSE,,FALSE
necessary,adj.,必要的,,FALSE,FALSE,,FALSE
necklace,n.,項鍊,,FALSE,FALSE,,FALSE
needle,n.,針,,FALSE,FALSE,,FALSE
possibility,n.,可能性,,FALSE,FALSE,,FALSE
postcard,n.,明信片,,FALSE,FALSE,,FALSE
pound,n.,磅,,FALSE,FALSE,,FALSE
powerful,adj.,強大的,,FALSE,FALSE,,FALSE
pray,v.,祈禱,,FALSE,FALSE,,FALSE
prayer,n.,禱告,,FALSE,FALSE,,FALSE
prefer,v.,更喜歡,,FALSE,FALSE,,FALSE
president,n.,總統,,FALSE,FALSE,,FALSE
priest,n.,牧師,,FALSE,FALSE,,FALSE
primary,adj.,基本的,,FALSE,FALSE,,FALSE
prince/princess,n.,王子/公主,,FALSE,FALSE,,FALSE
principle,n.,原則,,FALSE,FALSE,,FALSE
printer,n.,印表機,,FALSE,FALSE,,FALSE
prison,n.,監獄,,FALSE,FALSE,,FALSE
prisoner,n.,囚犯,,FALSE,FALSE,,FALSE
private,adj.,私人的,,FALSE,FALSE,,FALSE
production,n.,生產,,FALSE,FALSE,,FALSE
project,n.,專案,,FALSE,FALSE,,FALSE
proper,adj.,恰當的,,FALSE,FALSE,,FALSE
propose,v.,提出,,FALSE,FALSE,,FALSE
protect,v.,保護,,FALSE,FALSE,,FALSE
protective,adj.,保護的,,FALSE,FALSE,,FALSE
prove,v.,證明,,FALSE,FALSE,,FALSE
provide,v.,提供,,FALSE,FALSE,,FALSE
pudding,n.,布丁,,FALSE,FALSE,,FALSE
pumpkin,n.,南瓜,,FALSE,FALSE,,FALSE
pupil,n.,瞳孔,,FALSE,FALSE,,FALSE
puppy,n.,小狗,,FALSE,FALSE,,FALSE
self,n.,自己,,FALSE,FALSE,,FALSE
selfish,adj.,自私,,FALSE,FALSE,,FALSE
sensitive,adj.,敏感的,,FALSE,FALSE,,FALSE
servant,n.,僕人,,FALSE,FALSE,,FALSE
serve,v.,服務,,FALSE,FALSE,,FALSE
sex,n.,性別,,FALSE,FALSE,,FALSE
shark,n.,鯊魚,,FALSE,FALSE,,FALSE
sheet,n.,床單,,FALSE,FALSE,,FALSE
shelf,n.,架子,,FALSE,FALSE,,FALSE
shell,n.,殼,,FALSE,FALSE,,FALSE
shopkeeper,n.,店主,,FALSE,FALSE,,FALSE
shore,n.,支撐,,FALSE,FALSE,,FALSE
shot,n.,射擊,,FALSE,FALSE,,FALSE
shy,adj.,害羞的,,FALSE,FALSE,,FALSE
sidewalk,n.,人行道,,FALSE,FALSE,,FALSE
silent,adj.,沉默的,,FALSE,FALSE,,FALSE
silly,adj.,愚蠢的,,FALSE,FALSE,,FALSE
similar,adj.,相似的,,FALSE,FALSE,,FALSE
simply,adv.,簡單地,,FALSE,FALSE,,FALSE
skill,n.,技能,,FALSE,FALSE,,FALSE
skilled,adj.,熟練,,FALSE,FALSE,,FALSE
skin,n.,皮膚,,FALSE,FALSE,,FALSE
sleepy,adj.,困,,FALSE,FALSE,,FALSE
slipper(s),n.,拖鞋）,,FALSE,FALSE,,FALSE
snail,n.,蝸牛,,FALSE,FALSE,,FALSE
technology,n.,技術,,FALSE,FALSE,,FALSE
teens,n.,青少年,,FALSE,FALSE,,FALSE
temperature,n.,溫度,,FALSE,FALSE,,FALSE
terrorism,n.,恐怖主義,,FALSE,FALSE,,FALSE
terrorist,adj.,恐怖分子,,FALSE,FALSE,,FALSE
text,n.,文字,,FALSE,FALSE,,FALSE
textbook,n.,教科書,,FALSE,FALSE,,FALSE
therefore,adv.,所以,,FALSE,FALSE,,FALSE
thief,n.,賊,,FALSE,FALSE,,FALSE
thirsty,adj.,渴,,FALSE,FALSE,,FALSE
thought,n.,想法,,FALSE,FALSE,,FALSE
thus,adv.,因此,,FALSE,FALSE,,FALSE
tiny,adj.,微小的,,FALSE,FALSE,,FALSE
tissue,n.,組織,,FALSE,FALSE,,FALSE
tofu,n.,豆腐,,FALSE,FALSE,,FALSE
tone,n.,語氣,,FALSE,FALSE,,FALSE
tongue,n.,舌頭,,FALSE,FALSE,,FALSE
toothache,n.,牙疼,,FALSE,FALSE,,FALSE
toothbrush,n.,牙刷,,FALSE,FALSE,,FALSE
toward/towards,prep.,朝向/朝向,,FALSE,FALSE,,FALSE
tradition,n.,傳統,,FALSE,FALSE,,FALSE
traditional,adj.,傳統的,,FALSE,FALSE,,FALSE
acceptable,adj.,可以接受,,FALSE,FALSE,,FALSE
accurate,adj.,準確的,,FALSE,FALSE,,FALSE
trial,n.,審判,,FALSE,FALSE,,FALSE
triangle,n.,三角形,,FALSE,FALSE,,FALSE
additional,adj.,額外的,,FALSE,FALSE,,FALSE
admire,v.,欽佩,,FALSE,FALSE,,FALSE
advanced,adj.,先進的,,FALSE,FALSE,,FALSE
advantage,n.,優勢,,FALSE,FALSE,,FALSE
adventure,n.,冒險,,FALSE,FALSE,,FALSE
advise,v.,建議,,FALSE,FALSE,,FALSE
adviser/advisor,n.,顧問/顧問,,FALSE,FALSE,,FALSE
afford,v.,買得起,,FALSE,FALSE,,FALSE
background,n.,背景,,FALSE,FALSE,,FALSE
agriculture,n.,農業,,FALSE,FALSE,,FALSE
bacon,n.,培根,,FALSE,FALSE,,FALSE
airline,n.,航空公司,,FALSE,FALSE,,FALSE
bacteria,n.,細菌,,FALSE,FALSE,,FALSE
alley,n.,胡同,,FALSE,FALSE,,FALSE
badly,adv.,嚴重地,,FALSE,FALSE,,FALSE
almond,n.,杏仁,,FALSE,FALSE,,FALSE
baggage,n.,行李,,FALSE,FALSE,,FALSE
alphabet,n.,字母,,FALSE,FALSE,,FALSE
bamboo,n.,竹子,,FALSE,FALSE,,FALSE
ambassador,n.,大使,,FALSE,FALSE,,FALSE
ambition,n.,志向,,FALSE,FALSE,,FALSE
banker,n.,銀行家,,FALSE,FALSE,,FALSE
ambulance,n.,救護車,,FALSE,FALSE,,FALSE
angel,n.,天使,,FALSE,FALSE,,FALSE
barely,adv.,僅僅,,FALSE,FALSE,,FALSE
barn,n.,穀倉,,FALSE,FALSE,,FALSE
anxious,adj.,焦慮的,,FALSE,FALSE,,FALSE
barrel,n.,桶,,FALSE,FALSE,,FALSE
anyhow,adv.,無論如何,,FALSE,FALSE,,FALSE
basement,n.,地下室,,FALSE,FALSE,,FALSE
apart,adv.,分開,,FALSE,FALSE,,FALSE
bay,n.,灣,,FALSE,FALSE,,FALSE
apologize,v.,道歉,,FALSE,FALSE,,FALSE
bead,n.,珠子,,FALSE,FALSE,,FALSE
approve,v.,批准,,FALSE,FALSE,,FALSE
beast,n.,獸,,FALSE,FALSE,,FALSE
apron,n.,圍裙,,FALSE,FALSE,,FALSE
beetle,n.,甲蟲,,FALSE,FALSE,,FALSE
armed,adj.,武裝的,,FALSE,FALSE,,FALSE
beneath,prep.,下面,,FALSE,FALSE,,FALSE
ash,n.,灰,,FALSE,FALSE,,FALSE
berry,n.,漿果,,FALSE,FALSE,,FALSE
aside,adv.,放在一邊,,FALSE,FALSE,,FALSE
assist,v.,協助,,FALSE,FALSE,,FALSE
assistant,n.,助手,,FALSE,FALSE,,FALSE
bind,v.,綁定,,FALSE,FALSE,,FALSE
assume,v.,認為,,FALSE,FALSE,,FALSE
bitter,adj.,苦的,,FALSE,FALSE,,FALSE
athlete,n.,運動員,,FALSE,FALSE,,FALSE
bleed,v.,流血,,FALSE,FALSE,,FALSE
attitude,n.,態度,,FALSE,FALSE,,FALSE
bless,v.,保佑,,FALSE,FALSE,,FALSE
attract,v.,吸引,,FALSE,FALSE,,FALSE
bloody,adj.,血腥,,FALSE,FALSE,,FALSE
attractive,adj.,吸引人的,,FALSE,FALSE,,FALSE
blouse,n.,女式襯衫,,FALSE,FALSE,,FALSE
career,n.,職業,,FALSE,FALSE,,FALSE
carpenter,n.,木匠,,FALSE,FALSE,,FALSE
carriage,n.,運輸,,FALSE,FALSE,,FALSE
casual,adj.,隨意的,,FALSE,FALSE,,FALSE
cattle,n.,牛,,FALSE,FALSE,,FALSE
champion,n.,冠軍,,FALSE,FALSE,,FALSE
cheek,n.,臉頰,,FALSE,FALSE,,FALSE
cheerful,adj.,快樂,,FALSE,FALSE,,FALSE
chest,n.,胸部,,FALSE,FALSE,,FALSE
chilly,adj.,寒冷,,FALSE,FALSE,,FALSE
chimney,n.,煙囪,,FALSE,FALSE,,FALSE
chin,n.,下巴,,FALSE,FALSE,,FALSE
cigarette,n.,捲菸,,FALSE,FALSE,,FALSE
cinema,n.,電影,,FALSE,FALSE,,FALSE
circus,n.,馬戲團,,FALSE,FALSE,,FALSE
citizen,n.,公民,,FALSE,FALSE,,FALSE
civil,adj.,民事,,FALSE,FALSE,,FALSE
clay,n.,黏土,,FALSE,FALSE,,FALSE
cleaner,n.,清潔工,,FALSE,FALSE,,FALSE
client,n.,客戶,,FALSE,FALSE,,FALSE
clinic,n.,診所,,FALSE,FALSE,,FALSE
closet,n.,壁櫥,,FALSE,FALSE,,FALSE
clothe,v.,衣服,,FALSE,FALSE,,FALSE
clue,n.,線索,,FALSE,FALSE,,FALSE
cock,n.,公雞,,FALSE,FALSE,,FALSE
cocktail,n.,雞尾酒,,FALSE,FALSE,,FALSE
coconut,n.,椰子,,FALSE,FALSE,,FALSE
dishonest,adj.,不誠實,,FALSE,FALSE,,FALSE
disk/disc,n.,磁盤/磁盤,,FALSE,FALSE,,FALSE
dizzy,adj.,暈眩的,,FALSE,FALSE,,FALSE
dolphin,n.,海豚,,FALSE,FALSE,,FALSE
donkey,n.,驢,,FALSE,FALSE,,FALSE
doubtful,adj.,疑,,FALSE,FALSE,,FALSE
doughnut,n.,油炸圈餅,,FALSE,FALSE,,FALSE
dragonfly,n.,蜻蜓,,FALSE,FALSE,,FALSE
dramatic,adj.,戲劇性,,FALSE,FALSE,,FALSE
drown,v.,淹死,,FALSE,FALSE,,FALSE
drugstore,n.,藥店,,FALSE,FALSE,,FALSE
dumb,adj.,啞的,,FALSE,FALSE,,FALSE
dumpling,n.,餃子,,FALSE,FALSE,,FALSE
eager,adj.,渴望的,,FALSE,FALSE,,FALSE
edit,v.,編輯,,FALSE,FALSE,,FALSE
editor,n.,編輯,,FALSE,FALSE,,FALSE
educate,v.,教育,,FALSE,FALSE,,FALSE
educational,adj.,教育性的,,FALSE,FALSE,,FALSE
efficient,adj.,高效的,,FALSE,FALSE,,FALSE
elderly,adj.,老年,,FALSE,FALSE,,FALSE
election,n.,選舉,,FALSE,FALSE,,FALSE
electricity,n.,電,,FALSE,FALSE,,FALSE
electronic,adj.,電子的,,FALSE,FALSE,,FALSE
element,n.,元素,,FALSE,FALSE,,FALSE
elevator,n.,電梯,,FALSE,FALSE,,FALSE
grasshopper,n.,蚱蜢,,FALSE,FALSE,,FALSE
grassy,adj.,長滿青草的,,FALSE,FALSE,,FALSE
greedy,adj.,貪婪的,,FALSE,FALSE,,FALSE
greenhouse,n.,溫室,,FALSE,FALSE,,FALSE
grocery,n.,雜貨店,,FALSE,FALSE,,FALSE
guidance,n.,指導,,FALSE,FALSE,,FALSE
gum,n.,膠,,FALSE,FALSE,,FALSE
hairdresser,n.,理髮師,,FALSE,FALSE,,FALSE
hallway,n.,門廳,,FALSE,FALSE,,FALSE
handful,n.,少數,,FALSE,FALSE,,FALSE
handkerchief,n.,手帕,,FALSE,FALSE,,FALSE
handy,adj.,便利,,FALSE,FALSE,,FALSE
hanger,n.,衣架,,FALSE,FALSE,,FALSE
harmful,adj.,有害,,FALSE,FALSE,,FALSE
hasty,adj.,倉促的,,FALSE,FALSE,,FALSE
hateful,adj.,可惡,,FALSE,FALSE,,FALSE
hay,n.,乾草,,FALSE,FALSE,,FALSE
headquarters,n.,總部,,FALSE,FALSE,,FALSE
heal,v.,癒合,,FALSE,FALSE,,FALSE
heater,n.,加熱器,,FALSE,FALSE,,FALSE
hell,n.,地獄,,FALSE,FALSE,,FALSE
helmet,n.,頭盔,,FALSE,FALSE,,FALSE
hesitate,v.,猶豫,,FALSE,FALSE,,FALSE
historian,n.,歷史學家,,FALSE,FALSE,,FALSE
historic,adj.,歷史性,,FALSE,FALSE,,FALSE
holder,n.,持有者,,FALSE,FALSE,,FALSE
leisure,n.,閒暇,,FALSE,FALSE,,FALSE
lemonade,n.,檸檬水,,FALSE,FALSE,,FALSE
leopard,n.,豹,,FALSE,FALSE,,FALSE
lettuce,n.,萵苣,,FALSE,FALSE,,FALSE
liberty,n.,自由,,FALSE,FALSE,,FALSE
lifetime,n.,壽命,,FALSE,FALSE,,FALSE
lighthouse,n.,燈塔,,FALSE,FALSE,,FALSE
lightning,n.,閃電,,FALSE,FALSE,,FALSE
lily,n.,百合,,FALSE,FALSE,,FALSE
limb,n.,肢,,FALSE,FALSE,,FALSE
lively,adj.,熱鬧,,FALSE,FALSE,,FALSE
loaf,n.,麵包,,FALSE,FALSE,,FALSE
lobby,n.,大堂,,FALSE,FALSE,,FALSE
locate,v.,定位,,FALSE,FALSE,,FALSE
location,n.,地點,,FALSE,FALSE,,FALSE
lollipop,n.,棒糖,,FALSE,FALSE,,FALSE
loose,adj.,鬆動的,,FALSE,FALSE,,FALSE
lord,n.,主,,FALSE,FALSE,,FALSE
loser,n.,失敗者,,FALSE,FALSE,,FALSE
lover,n.,情人,,FALSE,FALSE,,FALSE
luggage,n.,行李,,FALSE,FALSE,,FALSE
lung,n.,肺,,FALSE,FALSE,,FALSE
magical,adj.,神奇,,FALSE,FALSE,,FALSE
magician,n.,魔術師,,FALSE,FALSE,,FALSE
magnet,n.,磁鐵,,FALSE,FALSE,,FALSE
maid,n.,女傭,,FALSE,FALSE,,FALSE
majority,n.,多數,,FALSE,FALSE,,FALSE
mall,n.,購物中心,,FALSE,FALSE,,FALSE
mankind/humankind,n.,人類/人類,,FALSE,FALSE,,FALSE
marble,n.,大理石,,FALSE,FALSE,,FALSE
marker,n.,標記,,FALSE,FALSE,,FALSE
marvelous,adj.,奇妙,,FALSE,FALSE,,FALSE
mathematical,adj.,數學的,,FALSE,FALSE,,FALSE
mayor,n.,市長,,FALSE,FALSE,,FALSE
meadow,n.,草地,,FALSE,FALSE,,FALSE
pal,n.,朋友,,FALSE,FALSE,,FALSE
palace,n.,宮殿,,FALSE,FALSE,,FALSE
palm,n.,棕櫚,,FALSE,FALSE,,FALSE
pancake,n.,餅子,,FALSE,FALSE,,FALSE
paradise,n.,天堂,,FALSE,FALSE,,FALSE
passage,n.,通道,,FALSE,FALSE,,FALSE
passenger,n.,乘客,,FALSE,FALSE,,FALSE
passion,n.,熱情,,FALSE,FALSE,,FALSE
passport,n.,護照,,FALSE,FALSE,,FALSE
patience,n.,耐心,,FALSE,FALSE,,FALSE
pea,n.,豌豆,,FALSE,FALSE,,FALSE
peanut,n.,花生,,FALSE,FALSE,,FALSE
pearl,n.,珍珠,,FALSE,FALSE,,FALSE
penguin,n.,企鵝,,FALSE,FALSE,,FALSE
penny,n.,一分錢,,FALSE,FALSE,,FALSE
pepper,n.,胡椒,,FALSE,FALSE,,FALSE
perform,v.,履行,,FALSE,FALSE,,FALSE
performance,n.,表現,,FALSE,FALSE,,FALSE
permission,n.,允許,,FALSE,FALSE,,FALSE
persuade,v.,說服,,FALSE,FALSE,,FALSE
photographer,n.,攝影師,,FALSE,FALSE,,FALSE
pigeon,n.,鴿子,,FALSE,FALSE,,FALSE
pill,n.,丸,,FALSE,FALSE,,FALSE
pine,n.,松樹,,FALSE,FALSE,,FALSE
pineapple,n.,鳳梨,,FALSE,FALSE,,FALSE
pint,n.,品脫,,FALSE,FALSE,,FALSE
pit,n.,坑,,FALSE,FALSE,,FALSE
resist,v.,抵抗,,FALSE,FALSE,,FALSE
resource,n.,資源,,FALSE,FALSE,,FALSE
response,n.,回覆,,FALSE,FALSE,,FALSE
responsibility,n.,責任,,FALSE,FALSE,,FALSE
restrict,v.,限制,,FALSE,FALSE,,FALSE
reveal,v.,揭示,,FALSE,FALSE,,FALSE
ribbon,n.,絲帶,,FALSE,FALSE,,FALSE
ripe,adj.,成熟,,FALSE,FALSE,,FALSE
rob,v.,搶,,FALSE,FALSE,,FALSE
robbery,n.,搶劫,,FALSE,FALSE,,FALSE
robe,n.,長袍,,FALSE,FALSE,,FALSE
rocket,n.,火箭,,FALSE,FALSE,,FALSE
rotten,adj.,爛,,FALSE,FALSE,,FALSE
roughly,adv.,大致,,FALSE,FALSE,,FALSE
rug,n.,小地毯,,FALSE,FALSE,,FALSE
sack,n.,解僱,,FALSE,FALSE,,FALSE
sake,n.,清酒,,FALSE,FALSE,,FALSE
salary,n.,薪水,,FALSE,FALSE,,FALSE
satisfactory,adj.,滿意的,,FALSE,FALSE,,FALSE
sauce,n.,醬,,FALSE,FALSE,,FALSE
saucer,n.,碟子,,FALSE,FALSE,,FALSE
sausage,n.,香腸,,FALSE,FALSE,,FALSE
saving(s),n.,節省,,FALSE,FALSE,,FALSE
scale(s),n.,秤）,,FALSE,FALSE,,FALSE
scarce,adj.,稀缺,,FALSE,FALSE,,FALSE
scarf,n.,圍巾,,FALSE,FALSE,,FALSE
scary,adj.,可怕的,,FALSE,FALSE,,FALSE
scholar,n.,學者,,FALSE,FALSE,,FALSE
stomach,n.,胃,,FALSE,FALSE,,FALSE
stool,n.,凳子,,FALSE,FALSE,,FALSE
stormy,adj.,暴風雨的,,FALSE,FALSE,,FALSE
stove,n.,火爐,,FALSE,FALSE,,FALSE
strategy,n.,戰略,,FALSE,FALSE,,FALSE
straw,n.,稻草,,FALSE,FALSE,,FALSE
strength,n.,力量,,FALSE,FALSE,,FALSE
structure,n.,結構,,FALSE,FALSE,,FALSE
stubborn,adj.,固執的,,FALSE,FALSE,,FALSE
studio,n.,工作室,,FALSE,FALSE,,FALSE
substance,n.,物質,,FALSE,FALSE,,FALSE
subtract,v.,減去,,FALSE,FALSE,,FALSE
suburb,n.,市郊,,FALSE,FALSE,,FALSE
suffer,v.,遭受,,FALSE,FALSE,,FALSE
sufficient,adj.,充足的,,FALSE,FALSE,,FALSE
suicide,n.,自殺,,FALSE,FALSE,,FALSE
summary,n.,概括,,FALSE,FALSE,,FALSE
summit,n.,首腦,,FALSE,FALSE,,FALSE
surround,v.,環繞,,FALSE,FALSE,,FALSE
survivor,n.,倖存者,,FALSE,FALSE,,FALSE
suspicion,n.,懷疑,,FALSE,FALSE,,FALSE
swan,n.,天鵝,,FALSE,FALSE,,FALSE
swear,v.,發誓,,FALSE,FALSE,,FALSE
swift,adj.,迅速,,FALSE,FALSE,,FALSE
sword,n.,劍,,FALSE,FALSE,,FALSE
tablet,n.,藥片,,FALSE,FALSE,,FALSE
tailor,n.,裁縫,,FALSE,FALSE,,FALSE
vision,n.,想像,,FALSE,FALSE,,FALSE
vitamin,n.,維他命,,FALSE,FALSE,,FALSE
vivid,adj.,生動,,FALSE,FALSE,,FALSE
vocabulary,n.,詞彙,,FALSE,FALSE,,FALSE
volleyball,n.,排球,,FALSE,FALSE,,FALSE
volume,n.,體積,,FALSE,FALSE,,FALSE
voter,n.,選民,,FALSE,FALSE,,FALSE
wage(s),n.,工資,,FALSE,FALSE,,FALSE
wagon,n.,車皮,,FALSE,FALSE,,FALSE
warmth,n.,溫暖,,FALSE,FALSE,,FALSE
warn,v.,警告,,FALSE,FALSE,,FALSE
waterfall,n.,瀑布,,FALSE,FALSE,,FALSE
weaken,v.,削弱,,FALSE,FALSE,,FALSE
wealthy,adj.,富裕,,FALSE,FALSE,,FALSE
weapon,n.,武器,,FALSE,FALSE,,FALSE
web,n.,網絡,,FALSE,FALSE,,FALSE
wed,v.,結婚,,FALSE,FALSE,,FALSE
weep,v.,哭泣,,FALSE,FALSE,,FALSE
wheat,n.,小麥,,FALSE,FALSE,,FALSE
wicked,adj.,邪惡,,FALSE,FALSE,,FALSE
widen,v.,擴大,,FALSE,FALSE,,FALSE
wisdom,n.,智慧,,FALSE,FALSE,,FALSE
wrist,n.,手腕,,FALSE,FALSE,,FALSE
yolk,n.,蛋黃,,FALSE,FALSE,,FALSE
youngster,n.,青少年,,FALSE,FALSE,,FALSE
anniversary,n.,週年紀念日,,FALSE,FALSE,,FALSE
abandon,v.,放棄,,FALSE,FALSE,,FALSE
bald,adj.,禿,,FALSE,FALSE,,FALSE
ballet,n.,芭蕾舞,,FALSE,FALSE,,FALSE
barrier,n.,障礙,,FALSE,FALSE,,FALSE
basin,n.,盆地,,FALSE,FALSE,,FALSE
battery,n.,電池,,FALSE,FALSE,,FALSE
beggar,n.,乞丐,,FALSE,FALSE,,FALSE
behavior,n.,行為,,FALSE,FALSE,,FALSE
bin,n.,垃圾桶,,FALSE,FALSE,,FALSE
biography,n.,傳,,FALSE,FALSE,,FALSE
biology,n.,生物學,,FALSE,FALSE,,FALSE
blade,n.,刀刃,,FALSE,FALSE,,FALSE
blessing,n.,祝福,,FALSE,FALSE,,FALSE
bracelet,n.,手鐲,,FALSE,FALSE,,FALSE
bridegroom/groom,n.,新郎/新郎,,FALSE,FALSE,,FALSE
broke,adj.,壞了,,FALSE,FALSE,,FALSE
broom,n.,掃帚,,FALSE,FALSE,,FALSE
brutal,adj.,野蠻,,FALSE,FALSE,,FALSE
bulletin,n.,公告,,FALSE,FALSE,,FALSE
burglar,n.,竊賊,,FALSE,FALSE,,FALSE
cabinet,n.,內閣,,FALSE,FALSE,,FALSE
calculate,v.,計算,,FALSE,FALSE,,FALSE
calculation,n.,計算,,FALSE,FALSE,,FALSE
calorie,n.,卡路里,,FALSE,FALSE,,FALSE
candidate,n.,候選人,,FALSE,FALSE,,FALSE
cane,n.,甘蔗,,FALSE,FALSE,,FALSE
capacity,n.,容量,,FALSE,FALSE,,FALSE
capital(ism),n.,資本（主義）,,FALSE,FALSE,,FALSE
context,n.,情境,,FALSE,FALSE,,FALSE
continual,adj.,連續的,,FALSE,FALSE,,FALSE
continuous,adj.,連續的,,FALSE,FALSE,,FALSE
contribute,v.,貢獻,,FALSE,FALSE,,FALSE
contribution,n.,貢獻,,FALSE,FALSE,,FALSE
convenience,n.,方便,,FALSE,FALSE,,FALSE
convention,n.,習俗,,FALSE,FALSE,,FALSE
conventional,adj.,傳統的,,FALSE,FALSE,,FALSE
converse,v.,交談,,FALSE,FALSE,,FALSE
convey,v.,傳達,,FALSE,FALSE,,FALSE
convince,v.,說服,,FALSE,FALSE,,FALSE
cooperate,v.,合作,,FALSE,FALSE,,FALSE
cooperation,n.,合作,,FALSE,FALSE,,FALSE
cope,v.,應付,,FALSE,FALSE,,FALSE
cord,n.,繩索,,FALSE,FALSE,,FALSE
correspond,v.,對應,,FALSE,FALSE,,FALSE
costume,n.,戲服,,FALSE,FALSE,,FALSE
cottage,n.,小屋,,FALSE,FALSE,,FALSE
council,n.,理事會,,FALSE,FALSE,,FALSE
courageous,adj.,勇敢,,FALSE,FALSE,,FALSE
courtesy,n.,禮貌,,FALSE,FALSE,,FALSE
coward,n.,懦夫,,FALSE,FALSE,,FALSE
craft,n.,工藝,,FALSE,FALSE,,FALSE
creation,n.,創建,,FALSE,FALSE,,FALSE
creativity,n.,創造力,,FALSE,FALSE,,FALSE
creep,v.,蠕變,,FALSE,FALSE,,FALSE
critic,n.,評論家,,FALSE,FALSE,,FALSE
critical,adj.,批判的,,FALSE,FALSE,,FALSE
criticism,n.,批評,,FALSE,FALSE,,FALSE
criticize,v.,批評,,FALSE,FALSE,,FALSE
cruelty,n.,殘酷,,FALSE,FALSE,,FALSE
crunchy,adj.,脆脆的,,FALSE,FALSE,,FALSE
dusty,adj.,塵土飛揚的,,FALSE,FALSE,,FALSE
dynamic,adj.,動態的,,FALSE,FALSE,,FALSE
dynasty,n.,王朝,,FALSE,FALSE,,FALSE
earphone,n.,耳機,,FALSE,FALSE,,FALSE
economic,adj.,經濟的,,FALSE,FALSE,,FALSE
economical,adj.,經濟,,FALSE,FALSE,,FALSE
economics,n.,經濟學,,FALSE,FALSE,,FALSE
economist,n.,經濟學家,,FALSE,FALSE,,FALSE
economy,n.,經濟,,FALSE,FALSE,,FALSE
efficiency,n.,效率,,FALSE,FALSE,,FALSE
electronics,n.,電子產品,,FALSE,FALSE,,FALSE
elegant,adj.,優雅的,,FALSE,FALSE,,FALSE
elementary,adj.,初級,,FALSE,FALSE,,FALSE
eliminate,v.,排除,,FALSE,FALSE,,FALSE
elsewhere,adv.,別處,,FALSE,FALSE,,FALSE
embassy,n.,大使館,,FALSE,FALSE,,FALSE
emerge,v.,出現,,FALSE,FALSE,,FALSE
emphasis,n.,強調,,FALSE,FALSE,,FALSE
empire,n.,帝國,,FALSE,FALSE,,FALSE
enclose,v.,括,,FALSE,FALSE,,FALSE
endanger,v.,危害,,FALSE,FALSE,,FALSE
